"beta0","beta1","loglikelihood"
50,1,-255.854915281439
50.1,1,-255.653247215975
50.2,1,-255.451684060289
50.3,1,-255.25022581438
50.4,1,-255.048872478249
50.5,1,-254.847624051896
50.6,1,-254.64648053532
50.7,1,-254.445441928522
50.8,1,-254.244508231502
50.9,1,-254.043679444259
51,1,-253.842955566793
51.1,1,-253.642336599105
51.2,1,-253.441822541195
51.3,1,-253.241413393063
51.4,1,-253.041109154708
51.5,1,-252.84090982613
51.6,1,-252.64081540733
51.7,1,-252.440825898308
51.8,1,-252.240941299064
51.9,1,-252.041161609596
52,1,-251.841486829907
52.1,1,-251.641916959995
52.2,1,-251.442451999861
52.3,1,-251.243091949504
52.4,1,-251.043836808925
52.5,1,-250.844686578124
52.6,1,-250.6456412571
52.7,1,-250.446700845853
52.8,1,-250.247865344385
52.9,1,-250.049134752693
53,1,-249.85050907078
53.1,1,-249.651988298644
53.2,1,-249.453572436286
53.3,1,-249.255261483705
53.4,1,-249.057055440902
53.5,1,-248.858954307876
53.6,1,-248.660958084628
53.7,1,-248.463066771158
53.8,1,-248.265280367465
53.9,1,-248.067598873549
54,1,-247.870022289412
54.1,1,-247.672550615052
54.2,1,-247.475183850469
54.3,1,-247.277921995664
54.4,1,-247.080765050637
54.5,1,-246.883713015387
54.6,1,-246.686765889915
54.7,1,-246.489923674221
54.8,1,-246.293186368304
54.9,1,-246.096553972165
55,1,-245.900026485803
55.1,1,-245.703603909219
55.2,1,-245.507286242412
55.3,1,-245.311073485383
55.4,1,-245.114965638132
55.5,1,-244.918962700658
55.6,1,-244.723064672962
55.7,1,-244.527271555043
55.8,1,-244.331583346902
55.9,1,-244.136000048539
56,1,-243.940521659953
56.1,1,-243.745148181145
56.2,1,-243.549879612114
56.3,1,-243.354715952861
56.4,1,-243.159657203386
56.5,1,-242.964703363688
56.6,1,-242.769854433768
56.7,1,-242.575110413625
56.8,1,-242.38047130326
56.9,1,-242.185937102672
57,1,-241.991507811863
57.1,1,-241.79718343083
57.2,1,-241.602963959576
57.3,1,-241.408849398098
57.4,1,-241.214839746399
57.5,1,-241.020935004477
57.6,1,-240.827135172333
57.7,1,-240.633440249966
57.8,1,-240.439850237377
57.9,1,-240.246365134565
58,1,-240.052984941531
58.1,1,-239.859709658275
58.2,1,-239.666539284796
58.3,1,-239.473473821095
58.4,1,-239.280513267171
58.5,1,-239.087657623025
58.6,1,-238.894906888656
58.7,1,-238.702261064066
58.8,1,-238.509720149252
58.9,1,-238.317284144217
59,1,-238.124953048959
59.1,1,-237.932726863478
59.2,1,-237.740605587775
59.3,1,-237.54858922185
59.4,1,-237.356677765702
59.5,1,-237.164871219332
59.6,1,-236.97316958274
59.7,1,-236.781572855925
59.8,1,-236.590081038887
59.9,1,-236.398694131628
60,1,-236.207412134145
60.1,1,-236.016235046441
60.2,1,-235.825162868514
60.3,1,-235.634195600364
60.4,1,-235.443333241993
60.5,1,-235.252575793398
60.6,1,-235.061923254582
60.7,1,-234.871375625543
60.8,1,-234.680932906281
60.9,1,-234.490595096797
61,1,-234.300362197091
61.1,1,-234.110234207163
61.2,1,-233.920211127012
61.3,1,-233.730292956638
61.4,1,-233.540479696042
61.5,1,-233.350771345224
61.6,1,-233.161167904183
61.7,1,-232.97166937292
61.8,1,-232.782275751434
61.9,1,-232.592987039727
62,1,-232.403803237796
62.1,1,-232.214724345643
62.2,1,-232.025750363268
62.3,1,-231.836881290671
62.4,1,-231.648117127851
62.5,1,-231.459457874808
62.6,1,-231.270903531544
62.7,1,-231.082454098056
62.8,1,-230.894109574347
62.9,1,-230.705869960415
63,1,-230.51773525626
63.1,1,-230.329705461884
63.2,1,-230.141780577284
63.3,1,-229.953960602463
63.4,1,-229.766245537419
63.5,1,-229.578635382152
63.6,1,-229.391130136663
63.7,1,-229.203729800952
63.8,1,-229.016434375018
63.9,1,-228.829243858862
64,1,-228.642158252484
64.1,1,-228.455177555883
64.2,1,-228.268301769059
64.3,1,-228.081530892014
64.4,1,-227.894864924745
64.5,1,-227.708303867255
64.6,1,-227.521847719542
64.7,1,-227.335496481607
64.8,1,-227.149250153449
64.9,1,-226.963108735069
65,1,-226.777072226466
65.1,1,-226.591140627641
65.2,1,-226.405313938594
65.3,1,-226.219592159324
65.4,1,-226.033975289831
65.5,1,-225.848463330117
65.6,1,-225.66305628018
65.7,1,-225.47775414002
65.8,1,-225.292556909638
65.9,1,-225.107464589034
66,1,-224.922477178207
66.1,1,-224.737594677158
66.2,1,-224.552817085887
66.3,1,-224.368144404393
66.4,1,-224.183576632677
66.5,1,-223.999113770738
66.6,1,-223.814755818577
66.7,1,-223.630502776193
66.8,1,-223.446354643587
66.9,1,-223.262311420759
67,1,-223.078373107708
67.1,1,-222.894539704435
67.2,1,-222.710811210939
67.3,1,-222.527187627221
67.4,1,-222.343668953281
67.5,1,-222.160255189118
67.6,1,-221.976946334733
67.7,1,-221.793742390125
67.8,1,-221.610643355295
67.9,1,-221.427649230243
68,1,-221.244760014968
68.1,1,-221.061975709471
68.2,1,-220.879296313751
68.3,1,-220.696721827809
68.4,1,-220.514252251644
68.5,1,-220.331887585257
68.6,1,-220.149627828648
68.7,1,-219.967472981816
68.8,1,-219.785423044762
68.9,1,-219.603478017486
69,1,-219.421637899987
69.1,1,-219.239902692265
69.2,1,-219.058272394322
69.3,1,-218.876747006155
69.4,1,-218.695326527767
69.5,1,-218.514010959156
69.6,1,-218.332800300322
69.7,1,-218.151694551267
69.8,1,-217.970693711988
69.9,1,-217.789797782488
70,1,-217.609006762765
70.1,1,-217.428320652819
70.2,1,-217.247739452651
70.3,1,-217.067263162261
70.4,1,-216.886891781649
70.5,1,-216.706625310813
70.6,1,-216.526463749756
70.7,1,-216.346407098476
70.8,1,-216.166455356974
70.9,1,-215.986608525249
71,1,-215.806866603302
71.1,1,-215.627229591132
71.2,1,-215.44769748874
71.3,1,-215.268270296126
71.4,1,-215.088948013289
71.5,1,-214.90973064023
71.6,1,-214.730618176949
71.7,1,-214.551610623445
71.8,1,-214.372707979718
71.9,1,-214.193910245769
72,1,-214.015217421598
72.1,1,-213.836629507205
72.2,1,-213.658146502589
72.3,1,-213.47976840775
72.4,1,-213.301495222689
72.5,1,-213.123326947406
72.6,1,-212.9452635819
72.7,1,-212.767305126172
72.8,1,-212.589451580222
72.9,1,-212.411702944049
73,1,-212.234059217654
73.1,1,-212.056520401036
73.2,1,-211.879086494196
73.3,1,-211.701757497133
73.4,1,-211.524533409848
73.5,1,-211.347414232341
73.6,1,-211.170399964611
73.7,1,-210.993490606659
73.8,1,-210.816686158484
73.9,1,-210.639986620087
74,1,-210.463391991468
74.1,1,-210.286902272626
74.2,1,-210.110517463562
74.3,1,-209.934237564275
74.4,1,-209.758062574766
74.5,1,-209.581992495035
74.6,1,-209.406027325081
74.7,1,-209.230167064905
74.8,1,-209.054411714506
74.9,1,-208.878761273885
75,1,-208.703215743042
50,1.01,-254.232303027977
50.1,1.01,-254.031369330956
50.2,1.01,-253.830540543713
50.3,1.01,-253.629816666248
50.4,1.01,-253.42919769856
50.5,1.01,-253.22868364065
50.6,1.01,-253.028274492517
50.7,1.01,-252.827970254162
50.8,1.01,-252.627770925585
50.9,1.01,-252.427676506785
51,1.01,-252.227686997763
51.1,1.01,-252.027802398518
51.2,1.01,-251.828022709051
51.3,1.01,-251.628347929361
51.4,1.01,-251.42877805945
51.5,1.01,-251.229313099315
51.6,1.01,-251.029953048959
51.7,1.01,-250.83069790838
51.8,1.01,-250.631547677578
51.9,1.01,-250.432502356554
52,1.01,-250.233561945308
52.1,1.01,-250.034726443839
52.2,1.01,-249.835995852148
52.3,1.01,-249.637370170234
52.4,1.01,-249.438849398098
52.5,1.01,-249.24043353574
52.6,1.01,-249.042122583159
52.7,1.01,-248.843916540356
52.8,1.01,-248.64581540733
52.9,1.01,-248.447819184082
53,1.01,-248.249927870612
53.1,1.01,-248.052141466919
53.2,1.01,-247.854459973004
53.3,1.01,-247.656883388866
53.4,1.01,-247.459411714506
53.5,1.01,-247.262044949924
53.6,1.01,-247.064783095119
53.7,1.01,-246.867626150092
53.8,1.01,-246.670574114842
53.9,1.01,-246.47362698937
54,1.01,-246.276784773675
54.1,1.01,-246.080047467758
54.2,1.01,-245.883415071619
54.3,1.01,-245.686887585257
54.4,1.01,-245.490465008673
54.5,1.01,-245.294147341867
54.6,1.01,-245.097934584838
54.7,1.01,-244.901826737586
54.8,1.01,-244.705823800113
54.9,1.01,-244.509925772416
55,1.01,-244.314132654498
55.1,1.01,-244.118444446357
55.2,1.01,-243.922861147993
55.3,1.01,-243.727382759408
55.4,1.01,-243.532009280599
55.5,1.01,-243.336740711569
55.6,1.01,-243.141577052316
55.7,1.01,-242.94651830284
55.8,1.01,-242.751564463142
55.9,1.01,-242.556715533222
56,1.01,-242.361971513079
56.1,1.01,-242.167332402714
56.2,1.01,-241.972798202127
56.3,1.01,-241.778368911317
56.4,1.01,-241.584044530285
56.5,1.01,-241.38982505903
56.6,1.01,-241.195710497553
56.7,1.01,-241.001700845853
56.8,1.01,-240.807796103931
56.9,1.01,-240.613996271787
57,1.01,-240.42030134942
57.1,1.01,-240.226711336831
57.2,1.01,-240.033226234019
57.3,1.01,-239.839846040985
57.4,1.01,-239.646570757729
57.5,1.01,-239.45340038425
57.6,1.01,-239.260334920549
57.7,1.01,-239.067374366625
57.8,1.01,-238.874518722479
57.9,1.01,-238.681767988111
58,1.01,-238.48912216352
58.1,1.01,-238.296581248707
58.2,1.01,-238.104145243671
58.3,1.01,-237.911814148413
58.4,1.01,-237.719587962933
58.5,1.01,-237.52746668723
58.6,1.01,-237.335450321304
58.7,1.01,-237.143538865157
58.8,1.01,-236.951732318787
58.9,1.01,-236.760030682194
59,1.01,-236.568433955379
59.1,1.01,-236.376942138342
59.2,1.01,-236.185555231082
59.3,1.01,-235.9942732336
59.4,1.01,-235.803096145895
59.5,1.01,-235.612023967968
59.6,1.01,-235.421056699819
59.7,1.01,-235.230194341447
59.8,1.01,-235.039436892853
59.9,1.01,-234.848784354036
60,1.01,-234.658236724997
60.1,1.01,-234.467794005736
60.2,1.01,-234.277456196252
60.3,1.01,-234.087223296546
60.4,1.01,-233.897095306617
60.5,1.01,-233.707072226466
60.6,1.01,-233.517154056092
60.7,1.01,-233.327340795497
60.8,1.01,-233.137632444678
60.9,1.01,-232.948029003638
61,1.01,-232.758530472374
61.1,1.01,-232.569136850889
61.2,1.01,-232.379848139181
61.3,1.01,-232.190664337251
61.4,1.01,-232.001585445098
61.5,1.01,-231.812611462723
61.6,1.01,-231.623742390125
61.7,1.01,-231.434978227305
61.8,1.01,-231.246318974263
61.9,1.01,-231.057764630998
62,1.01,-230.869315197511
62.1,1.01,-230.680970673801
62.2,1.01,-230.492731059869
62.3,1.01,-230.304596355715
62.4,1.01,-230.116566561338
62.5,1.01,-229.928641676739
62.6,1.01,-229.740821701917
62.7,1.01,-229.553106636873
62.8,1.01,-229.365496481607
62.9,1.01,-229.177991236118
63,1.01,-228.990590900406
63.1,1.01,-228.803295474473
63.2,1.01,-228.616104958317
63.3,1.01,-228.429019351938
63.4,1.01,-228.242038655337
63.5,1.01,-228.055162868514
63.6,1.01,-227.868391991468
63.7,1.01,-227.6817260242
63.8,1.01,-227.495164966709
63.9,1.01,-227.308708818996
64,1.01,-227.122357581061
64.1,1.01,-226.936111252903
64.2,1.01,-226.749969834523
64.3,1.01,-226.56393332592
64.4,1.01,-226.378001727095
64.5,1.01,-226.192175038048
64.6,1.01,-226.006453258778
64.7,1.01,-225.820836389286
64.8,1.01,-225.635324429571
64.9,1.01,-225.449917379634
65,1.01,-225.264615239475
65.1,1.01,-225.079418009093
65.2,1.01,-224.894325688489
65.3,1.01,-224.709338277662
65.4,1.01,-224.524455776613
65.5,1.01,-224.339678185341
65.6,1.01,-224.155005503847
65.7,1.01,-223.970437732131
65.8,1.01,-223.785974870192
65.9,1.01,-223.601616918031
66,1.01,-223.417363875648
66.1,1.01,-223.233215743042
66.2,1.01,-223.049172520213
66.3,1.01,-222.865234207163
66.4,1.01,-222.681400803889
66.5,1.01,-222.497672310394
66.6,1.01,-222.314048726676
66.7,1.01,-222.130530052735
66.8,1.01,-221.947116288573
66.9,1.01,-221.763807434187
67,1.01,-221.58060348958
67.1,1.01,-221.39750445475
67.2,1.01,-221.214510329697
67.3,1.01,-221.031621114422
67.4,1.01,-220.848836808925
67.5,1.01,-220.666157413205
67.6,1.01,-220.483582927263
67.7,1.01,-220.301113351099
67.8,1.01,-220.118748684712
67.9,1.01,-219.936488928103
68,1.01,-219.754334081271
68.1,1.01,-219.572284144217
68.2,1.01,-219.39033911694
68.3,1.01,-219.208498999441
68.4,1.01,-219.02676379172
68.5,1.01,-218.845133493776
68.6,1.01,-218.66360810561
68.7,1.01,-218.482187627221
68.8,1.01,-218.30087205861
68.9,1.01,-218.119661399777
69,1.01,-217.938555650721
69.1,1.01,-217.757554811443
69.2,1.01,-217.576658881942
69.3,1.01,-217.395867862219
69.4,1.01,-217.215181752274
69.5,1.01,-217.034600552106
69.6,1.01,-216.854124261716
69.7,1.01,-216.673752881103
69.8,1.01,-216.493486410268
69.9,1.01,-216.31332484921
70,1.01,-216.133268197931
70.1,1.01,-215.953316456428
70.2,1.01,-215.773469624703
70.3,1.01,-215.593727702756
70.4,1.01,-215.414090690587
70.5,1.01,-215.234558588195
70.6,1.01,-215.055131395581
70.7,1.01,-214.875809112744
70.8,1.01,-214.696591739685
70.9,1.01,-214.517479276403
71,1.01,-214.338471722899
71.1,1.01,-214.159569079173
71.2,1.01,-213.980771345224
71.3,1.01,-213.802078521053
71.4,1.01,-213.623490606659
71.5,1.01,-213.445007602043
