"beta0","beta1","ssr"
50,1,1109913
50.1,1,1108951.85
50.2,1,1107991.2
50.3,1,1107031.05
50.4,1,1106071.4
50.5,1,1105112.25
50.6,1,1104153.6
50.7,1,1103195.45
50.8,1,1102237.8
50.9,1,1101280.65
51,1,1100324
51.1,1,1099367.85
51.2,1,1098412.2
51.3,1,1097457.05
51.4,1,1096502.4
51.5,1,1095548.25
51.6,1,1094594.6
51.7,1,1093641.45
51.8,1,1092688.8
51.9,1,1091736.65
52,1,1090785
52.1,1,1089833.85
52.2,1,1088883.2
52.3,1,1087933.05
52.4,1,1086983.4
52.5,1,1086034.25
52.6,1,1085085.6
52.7,1,1084137.45
52.8,1,1083189.8
52.9,1,1082242.65
53,1,1081296
53.1,1,1080349.85
53.2,1,1079404.2
53.3,1,1078459.05
53.4,1,1077514.4
53.5,1,1076570.25
53.6,1,1075626.6
53.7,1,1074683.45
53.8,1,1073740.8
53.9,1,1072798.65
54,1,1071857
54.1,1,1070915.85
54.2,1,1069975.2
54.3,1,1069035.05
54.4,1,1068095.4
54.5,1,1067156.25
54.6,1,1066217.6
54.7,1,1065279.45
54.8,1,1064341.8
54.9,1,1063404.65
55,1,1062468
55.1,1,1061531.85
55.2,1,1060596.2
55.3,1,1059661.05
55.4,1,1058726.4
55.5,1,1057792.25
55.6,1,1056858.6
55.7,1,1055925.45
55.8,1,1054992.8
55.9,1,1054060.65
56,1,1053129
56.1,1,1052197.85
56.2,1,1051267.2
56.3,1,1050337.05
56.4,1,1049407.4
56.5,1,1048478.25
56.6,1,1047549.6
56.7,1,1046621.45
56.8,1,1045693.8
56.9,1,1044766.65
57,1,1043840
57.1,1,1042913.85
57.2,1,1041988.2
57.3,1,1041063.05
57.4,1,1040138.4
57.5,1,1039214.25
57.6,1,1038290.6
57.7,1,1037367.45
57.8,1,1036444.8
57.9,1,1035522.65
58,1,1034601
58.1,1,1033679.85
58.2,1,1032759.2
58.3,1,1031839.05
58.4,1,1030919.4
58.5,1,1030000.25
58.6,1,1029081.6
58.7,1,1028163.45
58.8,1,1027245.8
58.9,1,1026328.65
59,1,1025412
59.1,1,1024495.85
59.2,1,1023580.2
59.3,1,1022665.05
59.4,1,1021750.4
59.5,1,1020836.25
59.6,1,1019922.6
59.7,1,1019009.45
59.8,1,1018096.8
59.9,1,1017184.65
60,1,1016273
60.1,1,1015361.85
60.2,1,1014451.2
60.3,1,1013541.05
60.4,1,1012631.4
60.5,1,1011722.25
60.6,1,1010813.6
60.7,1,1009905.45
60.8,1,1008997.8
60.9,1,1008090.65
61,1,1007184
61.1,1,1006277.85
61.2,1,1005372.2
61.3,1,1004467.05
61.4,1,1003562.4
61.5,1,1002658.25
61.6,1,1001754.6
61.7,1,1000851.45
61.8,1,999948.8
61.9,1,999046.65
62,1,998145
62.1,1,997243.85
62.2,1,996343.2
62.3,1,995443.05
62.4,1,994543.4
62.5,1,993644.25
62.6,1,992745.6
62.7,1,991847.45
62.8,1,990949.8
62.9,1,990052.65
63,1,989156
63.1,1,988259.85
63.2,1,987364.2
63.3,1,986469.05
63.4,1,985574.4
63.5,1,984680.25
63.6,1,983786.6
63.7,1,982893.45
63.8,1,982000.8
63.9,1,981108.65
64,1,980217
64.1,1,979325.85
64.2,1,978435.2
64.3,1,977545.05
64.4,1,976655.4
64.5,1,975766.25
64.6,1,974877.6
64.7,1,973989.45
64.8,1,973101.8
64.9,1,972214.65
65,1,971328
65.1,1,970441.85
65.2,1,969556.2
65.3,1,968671.05
65.4,1,967786.4
65.5,1,966902.25
65.6,1,966018.6
65.7,1,965135.45
65.8,1,964252.8
65.9,1,963370.65
66,1,962489
66.1,1,961607.85
66.2,1,960727.2
66.3,1,959847.05
66.4,1,958967.4
66.5,1,958088.25
66.6,1,957209.6
66.7,1,956331.45
66.8,1,955453.8
66.9,1,954576.65
67,1,953700
67.1,1,952823.85
67.2,1,951948.2
67.3,1,951073.05
67.4,1,950198.4
67.5,1,949324.25
67.6,1,948450.6
67.7,1,947577.45
67.8,1,946704.8
67.9,1,945832.65
68,1,944961
68.1,1,944089.85
68.2,1,943219.2
68.3,1,942349.05
68.4,1,941479.4
68.5,1,940610.25
68.6,1,939741.6
68.7,1,938873.45
68.8,1,938005.8
68.9,1,937138.65
69,1,936272
69.1,1,935405.85
69.2,1,934540.2
69.3,1,933675.05
69.4,1,932810.4
69.5,1,931946.25
69.6,1,931082.6
69.7,1,930219.45
69.8,1,929356.8
69.9,1,928494.65
70,1,927633
70.1,1,926771.85
70.2,1,925911.2
70.3,1,925051.05
70.4,1,924191.4
70.5,1,923332.25
70.6,1,922473.6
70.7,1,921615.45
70.8,1,920757.8
70.9,1,919900.65
71,1,919044
71.1,1,918187.85
71.2,1,917332.2
71.3,1,916477.05
71.4,1,915622.4
71.5,1,914768.25
71.6,1,913914.6
71.7,1,913061.45
71.8,1,912208.8
71.9,1,911356.65
72,1,910505
72.1,1,909653.85
72.2,1,908803.2
72.3,1,907953.05
72.4,1,907103.4
72.5,1,906254.25
72.6,1,905405.6
72.7,1,904557.45
72.8,1,903709.8
72.9,1,902862.65
73,1,902016
73.1,1,901169.85
73.2,1,900324.2
73.3,1,899479.05
73.4,1,898634.4
73.5,1,897790.25
73.6,1,896946.6
73.7,1,896103.45
73.8,1,895260.8
73.9,1,894418.65
74,1,893577
74.1,1,892735.85
74.2,1,891895.2
74.3,1,891055.05
74.4,1,890215.4
74.5,1,889376.25
74.6,1,888537.6
74.7,1,887699.45
74.8,1,886861.8
74.9,1,886024.65
75,1,885188
50,1.01,1102179.63
50.1,1.01,1101221.98
50.2,1.01,1100264.83
50.3,1.01,1099308.18
50.4,1.01,1098352.03
50.5,1.01,1097396.38
50.6,1.01,1096441.23
50.7,1.01,1095486.58
50.8,1.01,1094532.43
50.9,1.01,1093578.78
51,1.01,1092625.63
51.1,1.01,1091672.98
51.2,1.01,1090720.83
51.3,1.01,1089769.18
51.4,1.01,1088818.03
51.5,1.01,1087867.38
51.6,1.01,1086917.23
51.7,1.01,1085967.58
51.8,1.01,1085018.43
51.9,1.01,1084069.78
52,1.01,1083121.63
52.1,1.01,1082173.98
52.2,1.01,1081226.83
52.3,1.01,1080280.18
52.4,1.01,1079334.03
52.5,1.01,1078388.38
52.6,1.01,1077443.23
52.7,1.01,1076498.58
52.8,1.01,1075554.43
52.9,1.01,1074610.78
53,1.01,1073667.63
53.1,1.01,1072724.98
53.2,1.01,1071782.83
53.3,1.01,1070841.18
53.4,1.01,1069900.03
53.5,1.01,1068959.38
53.6,1.01,1068019.23
53.7,1.01,1067079.58
53.8,1.01,1066140.43
53.9,1.01,1065201.78
54,1.01,1064263.63
54.1,1.01,1063325.98
54.2,1.01,1062388.83
54.3,1.01,1061452.18
54.4,1.01,1060516.03
54.5,1.01,1059580.38
54.6,1.01,1058645.23
54.7,1.01,1057710.58
54.8,1.01,1056776.43
54.9,1.01,1055842.78
55,1.01,1054909.63
55.1,1.01,1053976.98
55.2,1.01,1053044.83
55.3,1.01,1052113.18
55.4,1.01,1051182.03
55.5,1.01,1050251.38
55.6,1.01,1049321.23
55.7,1.01,1048391.58
55.8,1.01,1047462.43
55.9,1.01,1046533.78
56,1.01,1045605.63
56.1,1.01,1044677.98
56.2,1.01,1043750.83
56.3,1.01,1042824.18
56.4,1.01,1041898.03
56.5,1.01,1040972.38
56.6,1.01,1040047.23
56.7,1.01,1039122.58
56.8,1.01,1038198.43
56.9,1.01,1037274.78
57,1.01,1036351.63
57.1,1.01,1035428.98
57.2,1.01,1034506.83
57.3,1.01,1033585.18
57.4,1.01,1032664.03
57.5,1.01,1031743.38
57.6,1.01,1030823.23
57.7,1.01,1029903.58
57.8,1.01,1028984.43
57.9,1.01,1028065.78
58,1.01,1027147.63
58.1,1.01,1026229.98
58.2,1.01,1025312.83
58.3,1.01,1024396.18
58.4,1.01,1023480.03
58.5,1.01,1022564.38
58.6,1.01,1021649.23
58.7,1.01,1020734.58
58.8,1.01,1019820.43
58.9,1.01,1018906.78
59,1.01,1017993.63
59.1,1.01,1017080.98
59.2,1.01,1016168.83
59.3,1.01,1015257.18
59.4,1.01,1014346.03
59.5,1.01,1013435.38
59.6,1.01,1012525.23
59.7,1.01,1011615.58
59.8,1.01,1010706.43
59.9,1.01,1009797.78
60,1.01,1008889.63
60.1,1.01,1007981.98
60.2,1.01,1007074.83
60.3,1.01,1006168.18
60.4,1.01,1005262.03
60.5,1.01,1004356.38
60.6,1.01,1003451.23
60.7,1.01,1002546.58
60.8,1.01,1001642.43
60.9,1.01,1000738.78
61,1.01,999835.63
61.1,1.01,998932.98
61.2,1.01,998030.83
61.3,1.01,997129.18
61.4,1.01,996228.03
61.5,1.01,995327.38
61.6,1.01,994427.23
61.7,1.01,993527.58
61.8,1.01,992628.43
61.9,1.01,991729.78
62,1.01,990831.63
62.1,1.01,989933.98
62.2,1.01,989036.83
62.3,1.01,988140.18
62.4,1.01,987244.03
62.5,1.01,986348.38
62.6,1.01,985453.23
62.7,1.01,984558.58
62.8,1.01,983664.43
62.9,1.01,982770.78
63,1.01,981877.63
63.1,1.01,980984.98
63.2,1.01,980092.83
63.3,1.01,979201.18
63.4,1.01,978310.03
63.5,1.01,977419.38
63.6,1.01,976529.23
63.7,1.01,975639.58
63.8,1.01,974750.43
63.9,1.01,973861.78
64,1.01,972973.63
64.1,1.01,972085.98
64.2,1.01,971198.83
64.3,1.01,970312.18
64.4,1.01,969426.03
64.5,1.01,968540.38
64.6,1.01,967655.23
64.7,1.01,966770.58
64.8,1.01,965886.43
64.9,1.01,965002.78
65,1.01,964119.63
65.1,1.01,963236.98
65.2,1.01,962354.83
65.3,1.01,961473.18
65.4,1.01,960592.03
65.5,1.01,959711.38
65.6,1.01,958831.23
65.7,1.01,957951.58
65.8,1.01,957072.43
65.9,1.01,956193.78
66,1.01,955315.63
66.1,1.01,954437.98
66.2,1.01,953560.83
66.3,1.01,952684.18
66.4,1.01,951808.03
66.5,1.01,950932.38
66.6,1.01,950057.23
66.7,1.01,949182.58
66.8,1.01,948308.43
66.9,1.01,947434.78
67,1.01,946561.63
67.1,1.01,945688.98
67.2,1.01,944816.83
67.3,1.01,943945.18
67.4,1.01,943074.03
67.5,1.01,942203.38
67.6,1.01,941333.23
67.7,1.01,940463.58
67.8,1.01,939594.43
67.9,1.01,938725.78
68,1.01,937857.63
68.1,1.01,936989.98
68.2,1.01,936122.83
68.3,1.01,935256.18
68.4,1.01,934390.03
68.5,1.01,933524.38
68.6,1.01,932659.23
68.7,1.01,931794.58
68.8,1.01,930930.43
68.9,1.01,930066.78
69,1.01,929203.63
69.1,1.01,928340.98
69.2,1.01,927478.83
69.3,1.01,926617.18
69.4,1.01,925756.03
69.5,1.01,924895.38
69.6,1.01,924035.23
69.7,1.01,923175.58
69.8,1.01,922316.43
69.9,1.01,921457.78
70,1.01,920599.63
70.1,1.01,919741.98
70.2,1.01,918884.83
